# EVRP Instance: C25R6-1
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..25       = Customers
#   26..31     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C25R6-1
CUSTOMERS: 25
STATIONS: 6
TOTAL_NODES: 32
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	70.57	72.10	0.0897
2	C	61.04	143.21	0.1320
3	C	1.02	75.36	0.0982
4	C	34.03	138.97	0.0903
5	C	154.03	196.46	0.0990
6	C	5.30	136.56	0.1095
7	C	103.53	30.49	0.1492
8	C	171.03	83.13	0.0685
9	C	118.21	156.42	0.0916
10	C	8.60	79.40	0.0611
11	C	84.68	46.31	0.0892
12	C	164.41	183.51	0.0875
13	C	29.59	148.08	0.0656
14	C	173.49	151.85	0.0901
15	C	96.10	146.97	0.0750
16	C	64.42	1.10	0.1214
17	C	184.39	42.71	0.0699
18	C	84.38	4.33	0.1460
19	C	24.10	191.64	0.0845
20	C	110.42	21.25	0.1162
21	C	1.99	107.06	0.1093
22	C	156.28	94.50	0.1247
23	C	7.03	5.53	0.0658
24	C	182.75	170.17	0.0743
25	C	74.26	74.52	0.1110
26	S	62.53	166.18	0.0000
27	S	178.39	153.53	0.0000
28	S	71.19	39.84	0.0000
29	S	165.18	102.86	0.0000
30	S	58.26	59.91	0.0000
31	S	43.94	165.97	0.0000

DISTANCE_MATRIX_MILES
0.0000	40.5529	58.1806	102.0008	76.6205	110.5612	101.5122	69.5996	73.0059	59.2859	93.6927	55.8330	105.4636	85.2599	89.9400	47.1316	105.1054	101.9991	96.9367	118.9903	79.4364	98.2639	56.5481	132.5443	108.4960	36.2185	76.0513	94.9234	66.7026	65.2427	57.8743	86.5723
40.5529	0.0000	71.7458	69.6264	76.2022	149.7698	91.7348	53.0825	101.0637	96.8475	62.3985	29.3976	145.6645	86.3268	130.2021	79.1031	71.2659	117.5532	69.1628	128.2547	64.6045	76.9767	88.5887	92.0266	149.0036	4.4128	94.4229	135.1148	32.2660	99.4848	17.3243	97.5742
58.1806	71.7458	0.0000	90.5871	27.3408	107.1574	56.1353	120.4624	125.3292	58.6763	82.5934	99.7420	110.9479	31.8248	112.7814	35.2610	142.1502	159.1084	140.8276	60.9100	131.5775	69.2367	106.9735	147.8948	124.6602	69.9506	23.0183	117.8029	103.8671	111.6838	83.3464	28.4680
102.0008	69.6264	90.5871	0.0000	71.6651	195.1340	61.3495	111.9000	170.1875	142.4929	8.5894	88.5601	195.9406	78.1309	188.6707	119.0302	97.6428	186.2541	109.5178	118.5484	122.0502	31.7148	156.4353	70.0882	204.9749	73.2448	109.6893	193.8315	78.6479	166.4475	59.2884	100.2612
76.6205	76.2022	27.3408	71.6651	0.0000	133.0605	28.8309	128.8338	147.9429	85.9696	64.7709	105.5997	137.7779	10.1344	140.0535	62.5834	141.1796	178.5332	143.7465	53.5979	140.3333	45.2196	130.0871	136.1442	151.9575	75.9754	39.4035	145.0924	105.8661	136.0303	82.6896	28.7612
110.5612	149.7698	107.1574	195.1340	133.0605	0.0000	160.3391	173.4828	114.5979	53.7241	186.6894	165.3918	16.5966	133.5138	48.6697	76.1915	214.9313	156.7188	204.3650	130.0194	180.5557	176.3761	101.9848	240.9632	38.9359	145.7142	96.3801	49.3598	177.1787	94.2618	166.7867	114.2342
101.5122	91.7348	56.1353	61.3495	28.8309	160.3391	0.0000	144.5682	174.1298	114.6433	57.2552	120.1925	165.8924	26.8833	168.8836	91.3948	147.7991	202.1906	154.0728	58.2001	156.0340	29.6851	156.7291	131.0414	180.6049	92.7601	64.4408	173.9199	117.0310	163.3931	93.1664	48.5592
69.5996	53.0825	120.4624	111.9000	128.8338	173.4828	144.5682	0.0000	85.5992	126.7828	106.7890	24.6088	164.6860	138.9048	140.0809	116.7167	48.9220	81.7782	32.4202	179.6620	11.5260	127.1744	82.9448	99.6757	160.5812	52.8713	141.7490	144.0238	33.6645	95.0691	53.9899	148.0061
73.0059	101.0637	125.3292	170.1875	147.9429	114.5979	174.1298	85.5992	0.0000	90.3403	162.4728	93.8724	100.5981	155.6399	68.7640	98.4381	134.5162	42.5707	117.1224	182.6550	86.6182	170.7254	18.6236	181.4325	87.8255	97.1523	136.6366	70.7837	108.8212	20.5790	115.1358	151.7048
59.2859	96.8475	58.6763	142.4929	85.9696	53.7241	114.6433	126.7828	90.3403	0.0000	133.9643	115.1020	53.5566	89.0116	55.4686	24.0448	164.3705	131.5665	155.8071	100.4845	135.3943	126.2676	72.6871	187.4267	65.9884	92.9474	56.5289	60.2494	125.7051	71.2380	113.6142	74.8815
93.6927	62.3985	82.5934	8.5894	64.7709	186.6894	57.2552	106.7890	162.4728	133.9643	0.0000	82.9645	187.3917	71.8159	180.1047	110.5530	96.1601	179.5781	106.6682	113.3052	117.2550	28.4388	148.4500	73.8867	196.3859	65.8411	102.1725	185.2671	74.0439	158.3277	53.3477	93.5055
55.8330	29.3976	99.7420	88.5601	105.5997	165.3918	120.1925	24.6088	93.8724	115.1020	82.9645	0.0000	158.6843	115.7240	137.9344	101.3057	49.5420	99.7750	41.9811	157.4508	35.9242	102.6070	86.3066	87.7071	157.9843	30.0729	121.8993	142.3998	14.9613	98.3776	29.7149	126.4052
105.4636	145.6645	110.9479	195.9406	137.7779	16.5966	165.8924	164.6860	100.5981	53.5566	187.3917	158.6843	0.0000	139.3977	32.9363	77.4689	208.0178	142.2105	196.2403	140.5453	171.0065	179.5128	89.3805	237.5823	22.6784	141.4420	103.3434	33.0793	171.2631	80.6537	162.9257	121.7402
85.2599	86.3268	31.8248	78.1309	10.1344	133.5138	26.8833	138.9048	155.6399	89.0116	71.8159	115.7240	139.3977	0.0000	143.9494	66.5193	151.0505	187.2588	153.8376	43.9046	150.3973	49.4409	137.5543	144.3241	154.7448	86.0609	37.5853	148.8998	115.9589	142.9318	92.7142	22.9341
89.9400	130.2021	112.7814	188.6707	140.0535	48.6697	168.8836	140.0809	68.7640	55.4686	180.1047	137.9344	32.9363	143.9494	0.0000	77.5437	186.0694	109.6830	172.3448	154.5982	145.0317	177.2523	59.8766	221.6269	20.5273	125.8035	111.8815	5.1800	151.6955	49.6898	147.4141	130.3172
