# EVRP Instance: C25R4-1
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..25       = Customers
#   26..29     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C25R4-1
CUSTOMERS: 25
STATIONS: 4
TOTAL_NODES: 30
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	70.57	72.10	0.0897
2	C	61.04	143.21	0.1320
3	C	1.02	75.36	0.0982
4	C	34.03	138.97	0.0903
5	C	154.03	196.46	0.0990
6	C	5.30	136.56	0.1095
7	C	103.53	30.49	0.1492
8	C	171.03	83.13	0.0685
9	C	118.21	156.42	0.0916
10	C	8.60	79.40	0.0611
11	C	84.68	46.31	0.0892
12	C	164.41	183.51	0.0875
13	C	29.59	148.08	0.0656
14	C	173.49	151.85	0.0901
15	C	96.10	146.97	0.0750
16	C	64.42	1.10	0.1214
17	C	184.39	42.71	0.0699
18	C	84.38	4.33	0.1460
19	C	24.10	191.64	0.0845
20	C	110.42	21.25	0.1162
21	C	1.99	107.06	0.1093
22	C	156.28	94.50	0.1247
23	C	7.03	5.53	0.0658
24	C	182.75	170.17	0.0743
25	C	74.26	74.52	0.1110
26	S	33.01	114.15	0.0000
27	S	91.18	50.22	0.0000
28	S	48.56	186.35	0.0000
29	S	97.45	60.28	0.0000

DISTANCE_MATRIX_MILES
0.0000	40.5529	58.1806	102.0008	76.6205	110.5612	101.5122	69.5996	73.0059	59.2859	93.6927	55.8330	105.4636	85.2599	89.9400	47.1316	105.1054	101.9991	96.9367	118.9903	79.4364	98.2639	56.5481	132.5443	108.4960	36.2185	68.4681	50.5553	100.5107	39.8018
40.5529	0.0000	71.7458	69.6264	76.2022	149.7698	91.7348	53.0825	101.0637	96.8475	62.3985	29.3976	145.6645	86.3268	130.2021	79.1031	71.2659	117.5532	69.1628	128.2547	64.6045	76.9767	88.5887	92.0266	149.0036	4.4128	56.3822	30.0584	116.3508	29.3640
58.1806	71.7458	0.0000	90.5871	27.3408	107.1574	56.1353	120.4624	125.3292	58.6763	82.5934	99.7420	110.9479	31.8248	112.7814	35.2610	142.1502	159.1084	140.8276	60.9100	131.5775	69.2367	106.9735	147.8948	124.6602	69.9506	40.3753	97.7525	44.9089	90.5708
102.0008	69.6264	90.5871	0.0000	71.6651	195.1340	61.3495	111.9000	170.1875	142.4929	8.5894	88.5601	195.9406	78.1309	188.6707	119.0302	97.6428	186.2541	109.5178	118.5484	122.0502	31.7148	156.4353	70.0882	204.9749	73.2448	50.2795	93.5994	120.7428	97.6020
76.6205	76.2022	27.3408	71.6651	0.0000	133.0605	28.8309	128.8338	147.9429	85.9696	64.7709	105.5997	137.7779	10.1344	140.0535	62.5834	141.1796	178.5332	143.7465	53.5979	140.3333	45.2196	130.0871	136.1442	151.9575	75.9754	24.8410	105.5589	49.5579	101.0654
110.5612	149.7698	107.1574	195.1340	133.0605	0.0000	160.3391	173.4828	114.5979	53.7241	186.6894	165.3918	16.5966	133.5138	48.6697	76.1915	214.9313	156.7188	204.3650	130.0194	180.5557	176.3761	101.9848	240.9632	38.9359	145.7142	146.3584	159.1737	105.9534	147.4662
101.5122	91.7348	56.1353	61.3495	28.8309	160.3391	0.0000	144.5682	174.1298	114.6433	57.2552	120.1925	165.8924	26.8833	168.8836	91.3948	147.7991	202.1906	154.0728	58.2001	156.0340	29.6851	156.7291	131.0414	180.6049	92.7601	35.6378	121.7784	65.9581	119.6255
69.5996	53.0825	120.4624	111.9000	128.8338	173.4828	144.5682	0.0000	85.5992	126.7828	106.7890	24.6088	164.6860	138.9048	140.0809	116.7167	48.9220	81.7782	32.4202	179.6620	11.5260	127.1744	82.9448	99.6757	160.5812	52.8713	109.4169	23.2765	165.2696	30.4041
73.0059	101.0637	125.3292	170.1875	147.9429	114.5979	174.1298	85.5992	0.0000	90.3403	162.4728	93.8724	100.5981	155.6399	68.7640	98.4381	134.5162	42.5707	117.1224	182.6550	86.6182	170.7254	18.6236	181.4325	87.8255	97.1523	141.4629	86.3660	160.1664	77.0463
59.2859	96.8475	58.6763	142.4929	85.9696	53.7241	114.6433	126.7828	90.3403	0.0000	133.9643	115.1020	53.5566	89.0116	55.4686	24.0448	164.3705	131.5665	155.8071	100.4845	135.3943	126.2676	72.6871	187.4267	65.9884	92.9474	95.1094	109.5859	75.8085	98.3559
93.6927	62.3985	82.5934	8.5894	64.7709	186.6894	57.2552	106.7890	162.4728	133.9643	0.0000	82.9645	187.3917	71.8159	180.1047	110.5530	96.1601	179.5781	106.6682	113.3052	117.2550	28.4388	148.4500	73.8867	196.3859	65.8411	42.4666	87.5838	114.1714	90.8840
55.8330	29.3976	99.7420	88.5601	105.5997	165.3918	120.1925	24.6088	93.8724	115.1020	82.9645	0.0000	158.6843	115.7240	137.9344	101.3057	49.5420	99.7750	41.9811	157.4508	35.9242	102.6070	86.3066	87.7071	157.9843	30.0729	85.2763	7.5854	144.6232	18.9271
105.4636	145.6645	110.9479	195.9406	137.7779	16.5966	165.8924	164.6860	100.5981	53.5566	187.3917	158.6843	0.0000	139.3977	32.9363	77.4689	208.0178	142.2105	196.2403	140.5453	171.0065	179.5128	89.3805	237.5823	22.6784	141.4420	148.5825	152.0817	115.8848	140.2472
85.2599	86.3268	31.8248	78.1309	10.1344	133.5138	26.8833	138.9048	155.6399	89.0116	71.8159	115.7240	139.3977	0.0000	143.9494	66.5193	151.0505	187.2588	153.8376	43.9046	150.3973	49.4409	137.5543	144.3241	154.7448	86.0609	34.1019	115.6283	42.7136	110.9677
89.9400	130.2021	112.7814	188.6707	140.0535	48.6697	168.8836	140.0809	68.7640	55.4686	180.1047	137.9344	32.9363	143.9494	0.0000	77.5437	186.0694	109.6830	172.3448	154.5982	145.0317	177.2523	59.8766	221.6269	20.5273	125.8035	145.4507	130.7807	129.6062	119.0258
47.1316	79.1031	35.2610	119.0302	62.5834	76.1915	91.3948	116.7167	98.4381	24.0448	110.5530	101.3057	77.4689	66.5193	77.5437	0.0000	149.2705	136.6209	143.1207	84.7314	126.5329	102.2228	79.8419	167.1489	89.7021	75.6703	71.1161	96.8750	61.7320	86.7005
105.1054	71.2659	142.1502	97.6428	141.1796	214.9313	147.7991	48.9220	134.5162	164.3705	96.1601	49.5420	208.0178	151.0505	186.0694	149.2705	0.0000	126.9811	20.2197	194.7593	50.2197	122.9838	131.0031	57.5607	206.3653	74.0765	117.3324	55.9363	185.9277	67.7735
101.9991	117.5532	159.1084	186.2541	178.5332	156.7188	202.1906	81.7782	42.5707	131.5665	179.5781	99.7750	142.2105	187.2588	109.6830	136.6209	126.9811	0.0000	107.1215	218.7991	77.0201	193.4184	58.9269	181.2151	127.4706	114.6320	167.3905	93.5121	197.6923	88.6976
96.9367	69.1628	140.8276	109.5178	143.7465	204.3650	154.0728	32.4202	117.1224	155.8071	106.6682	41.9811	196.2403	153.8376	172.3448	143.1207	20.2197	107.1215	0.0000	196.7707	31.0543	131.6874	115.3267	77.3593	192.8200	70.9158	121.2407	46.3911	185.5111	57.4563
118.9903	128.2547	60.9100	118.5484	53.5979	130.0194	58.2001	179.6620	182.6550	100.4845	113.3052	157.4508	140.5453	43.9046	154.5982	84.7314	194.7593	218.7991	196.7707	0.0000	191.0076	87.4221	164.0358	186.8912	160.0962	127.4093	78.0006	156.5227	25.0255	150.4516
79.4364	64.6045	131.5775	122.0502	140.3333	180.5557	156.0340	11.5260	86.6182	135.3943	117.2550	35.9242	171.0065	150.3973	145.0317	126.5329	50.2197	77.0201	31.0543	191.0076	0.0000	138.2766	86.4217	104.5783	165.5560	64.3835	120.9244	34.7770	176.3085	41.1286
98.2639	76.9767	69.2367	31.7148	45.2196	176.3761	29.6851	127.1744	170.7254	126.2676	28.4388	102.6070	179.5128	49.4409	177.2523	102.2228	122.9838	193.4184	131.6874	87.4221	138.2766	0.0000	154.8004	101.6550	191.4603	79.2578	31.8199	105.7622	91.9547	106.3061
56.5481	88.5887	106.9735	156.4353	130.0871	101.9848	156.7291	82.9448	18.6236	72.6871	148.4500	86.3066	89.3805	137.5543	59.8766	79.8419	131.0031	58.9269	115.3267	164.0358	86.4217	154.8004	0.0000	173.7562	80.1661	84.4185	124.8263	78.7320	141.5628	68.0586
132.5443	92.0266	147.8948	70.0882	136.1442	240.9632	131.0414	99.6757	181.4325	187.4267	73.8867	87.7071	237.5823	144.3241	221.6269	167.1489	57.5607	181.2151	77.3593	186.8912	104.5783	101.6550	173.7562	0.0000	240.7984	96.3301	111.6838	95.2807	185.5279	105.7040
108.4960	149.0036	124.6602	204.9749	151.9575	38.9359	180.6049	160.5812	87.8255	65.9884	196.3859	157.9843	22.6784	154.7448	20.5273	89.7021	206.3653	127.4706	192.8200	160.0962	165.5560	191.4603	80.1661	240.7984	0.0000	144.6340	159.8759	150.9075	135.1619	139.1111
36.2185	4.4128	69.9506	73.2448	75.9754	145.7142	92.7601	52.8713	97.1523	92.9474	65.8411	30.0729	141.4420	86.0609	125.8035	75.6703	74.0765	114.6320	70.9158	127.4093	64.3835	79.2578	84.4185	96.3301	144.6340	0.0000	57.2023	29.6104	114.7451	27.2131
68.4681	56.3822	40.3753	50.2795	24.8410	146.3584	35.6378	109.4169	141.4629	95.1094	42.4666	85.2763	148.5825	34.1019	145.4507	71.1161	117.3324	167.3905	121.2407	78.0006	120.9244	31.8199	124.8263	111.6838	159.8759	57.2023	0.0000	86.4338	73.8556	83.9910
50.5553	30.0584	97.7525	93.5994	105.5589	159.1737	121.7784	23.2765	86.3660	109.5859	87.5838	7.5854	152.0817	115.6283	130.7807	96.8750	55.9363	93.5121	46.3911	156.5227	34.7770	105.7622	78.7320	95.2807	150.9075	29.6104	86.4338	0.0000	142.6459	11.8540
100.5107	116.3508	44.9089	120.7428	49.5579	105.9534	65.9581	165.2696	160.1664	75.8085	114.1714	144.6232	115.8848	42.7136	129.6062	61.7320	185.9277	197.6923	185.5111	25.0255	176.3085	91.9547	141.5628	185.5279	135.1619	114.7451	73.8556	142.6459	0.0000	135.2179
39.8018	29.3640	90.5708	97.6020	101.0654	147.4662	119.6255	30.4041	77.0463	98.3559	90.8840	18.9271	140.2472	110.9677	119.0258	86.7005	67.7735	88.6976	57.4563	150.4516	41.1286	106.3061	68.0586	105.7040	139.1111	27.2131	83.9910	11.8540	135.2179	0.0000

SPEED_MATRIX_KMH
0	60	60	40	30	30	60	60	40	40	40	80	60	40	60	40	40	30	80	80	30	80	60	30	60	80	80	30	30	40
60	0	40	80	80	30	80	30	60	30	80	60	30	60	80	80	40	40	60	80	30	80	30	30	60	30	40	80	30	80
