# EVRP Instance: C25R8-2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..25       = Customers
#   26..33     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C25R8-2
CUSTOMERS: 25
STATIONS: 8
TOTAL_NODES: 34
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	70.57	72.10	0.0897
2	C	61.04	143.21	0.1320
3	C	1.02	75.36	0.0982
4	C	34.03	138.97	0.0903
5	C	154.03	196.46	0.0990
6	C	5.30	136.56	0.1095
7	C	103.53	30.49	0.1492
8	C	171.03	83.13	0.0685
9	C	118.21	156.42	0.0916
10	C	8.60	79.40	0.0611
11	C	84.68	46.31	0.0892
12	C	164.41	183.51	0.0875
13	C	29.59	148.08	0.0656
14	C	173.49	151.85	0.0901
15	C	96.10	146.97	0.0750
16	C	64.42	1.10	0.1214
17	C	184.39	42.71	0.0699
18	C	84.38	4.33	0.1460
19	C	24.10	191.64	0.0845
20	C	110.42	21.25	0.1162
21	C	1.99	107.06	0.1093
22	C	156.28	94.50	0.1247
23	C	7.03	5.53	0.0658
24	C	182.75	170.17	0.0743
25	C	74.26	74.52	0.1110
26	S	107.48	17.92	0.0000
27	S	28.79	98.33	0.0000
28	S	98.02	15.95	0.0000
29	S	128.71	15.28	0.0000
30	S	195.17	79.40	0.0000
31	S	195.76	193.94	0.0000
32	S	30.50	146.90	0.0000
33	S	171.50	164.18	0.0000

DISTANCE_MATRIX_MILES
0.0000	40.5529	58.1806	102.0008	76.6205	110.5612	101.5122	69.5996	73.0059	59.2859	93.6927	55.8330	105.4636	85.2599	89.9400	47.1316	105.1054	101.9991	96.9367	118.9903	79.4364	98.2639	56.5481	132.5443	108.4960	36.2185	82.4201	71.2296	84.0733	89.4525	97.3740	134.1443	83.8443	96.0798
40.5529	0.0000	71.7458	69.6264	76.2022	149.7698	91.7348	53.0825	101.0637	96.8475	62.3985	29.3976	145.6645	86.3268	130.2021	79.1031	71.2659	117.5532	69.1628	128.2547	64.6045	76.9767	88.5887	92.0266	149.0036	4.4128	65.5578	49.3313	62.5006	81.2944	124.8137	174.6926	84.8566	136.6221
58.1806	71.7458	0.0000	90.5871	27.3408	107.1574	56.1353	120.4624	125.3292	58.6763	82.5934	99.7420	110.9479	31.8248	112.7814	35.2610	142.1502	159.1084	140.8276	60.9100	131.5775	69.2367	106.9735	147.8948	124.6602	69.9506	133.6198	55.2655	132.5241	144.7250	148.5348	143.9549	30.7621	112.4329
102.0008	69.6264	90.5871	0.0000	71.6651	195.1340	61.3495	111.9000	170.1875	142.4929	8.5894	88.5601	195.9406	78.1309	188.6707	119.0302	97.6428	186.2541	109.5178	118.5484	122.0502	31.7148	156.4353	70.0882	204.9749	73.2448	120.9673	36.0388	113.7477	141.1182	194.1920	228.0019	77.3760	192.2301
76.6205	76.2022	27.3408	71.6651	0.0000	133.0605	28.8309	128.8338	147.9429	85.9696	64.7709	105.5997	137.7779	10.1344	140.0535	62.5834	141.1796	178.5332	143.7465	53.5979	140.3333	45.2196	130.0871	136.1442	151.9575	75.9754	141.5910	40.9764	138.6674	155.7675	171.7984	170.8166	8.6802	139.7625
110.5612	149.7698	107.1574	195.1340	133.0605	0.0000	160.3391	173.4828	114.5979	53.7241	186.6894	165.3918	16.5966	133.5138	48.6697	76.1915	214.9313	156.7188	204.3650	130.0194	180.5557	176.3761	101.9848	240.9632	38.9359	145.7142	184.5086	159.1055	188.9999	182.9407	124.0788	41.8060	133.1009	36.7042
101.5122	91.7348	56.1353	61.3495	28.8309	160.3391	0.0000	144.5682	174.1298	114.6433	57.2552	120.1925	165.8924	26.8833	168.8836	91.3948	147.7991	202.1906	154.0728	58.2001	156.0340	29.6851	156.7291	131.0414	180.6049	92.7601	156.5765	44.8700	152.1308	173.0285	198.2874	198.9158	27.2389	168.4794
69.5996	53.0825	120.4624	111.9000	128.8338	173.4828	144.5682	0.0000	85.5992	126.7828	106.7890	24.6088	164.6860	138.9048	140.0809	116.7167	48.9220	81.7782	32.4202	179.6620	11.5260	127.1744	82.9448	99.6757	160.5812	52.8713	13.1760	100.9373	15.5490	29.4173	103.8753	187.6760	137.4215	149.9765
73.0059	101.0637	125.3292	170.1875	147.9429	114.5979	174.1298	85.5992	0.0000	90.3403	162.4728	93.8724	100.5981	155.6399	68.7640	98.4381	134.5162	42.5707	117.1224	182.6550	86.6182	170.7254	18.6236	181.4325	87.8255	97.1523	91.0546	143.0498	99.2150	79.9663	24.4265	113.5360	154.3220	81.0514
59.2859	96.8475	58.6763	142.4929	85.9696	53.7241	114.6433	126.7828	90.3403	0.0000	133.9643	115.1020	53.5566	89.0116	55.4686	24.0448	164.3705	131.5665	155.8071	100.4845	135.3943	126.2676	72.6871	187.4267	65.9884	92.9474	138.9150	106.6320	141.9136	141.5300	108.8803	86.1496	88.2251	53.8520
93.6927	62.3985	82.5934	8.5894	64.7709	186.6894	57.2552	106.7890	162.4728	133.9643	0.0000	82.9645	187.3917	71.8159	180.1047	110.5530	96.1601	179.5781	106.6682	113.3052	117.2550	28.4388	148.4500	73.8867	196.3859	65.8411	116.4347	27.6764	109.6441	136.1535	186.5700	219.4272	70.9638	183.6411
55.8330	29.3976	99.7420	88.5601	105.5997	165.3918	120.1925	24.6088	93.8724	115.1020	82.9645	0.0000	158.6843	115.7240	137.9344	101.3057	49.5420	99.7750	41.9811	157.4508	35.9242	102.6070	86.3066	87.7071	157.9843	30.0729	36.4120	76.3529	33.1615	53.8656	115.3386	184.7522	114.2533	146.3935
105.4636	145.6645	110.9479	195.9406	137.7779	16.5966	165.8924	164.6860	100.5981	53.5566	187.3917	158.6843	0.0000	139.3977	32.9363	77.4689	208.0178	142.2105	196.2403	140.5453	171.0065	179.5128	89.3805	237.5823	22.6784	141.4420	175.1030	160.1512	180.2331	171.9762	108.5591	33.0395	138.8243	20.5892
85.2599	86.3268	31.8248	78.1309	10.1344	133.5138	26.8833	138.9048	155.6399	89.0116	71.8159	115.7240	139.3977	0.0000	143.9494	66.5193	151.0505	187.2588	153.8376	43.9046	150.3973	49.4409	137.5543	144.3241	154.7448	86.0609	151.6855	49.7564	148.7985	165.7124	179.2587	172.3822	1.4901	142.8204
89.9400	130.2021	112.7814	188.6707	140.0535	48.6697	168.8836	140.0809	68.7640	55.4686	180.1047	137.9344	32.9363	143.9494	0.0000	77.5437	186.0694	109.6830	172.3448	154.5982	145.0317	177.2523	59.8766	221.6269	20.5273	125.8035	149.3136	154.2805	155.4494	143.7241	75.6242	47.6185	143.0757	12.4896
47.1316	79.1031	35.2610	119.0302	62.5834	76.1915	91.3948	116.7167	98.4381	24.0448	110.5530	101.3057	77.4689	66.5193	77.5437	0.0000	149.2705	136.6209	143.1207	84.7314	126.5329	102.2228	79.8419	167.1489	89.7021	75.6703	129.5508	83.0451	131.0341	135.6675	119.9190	110.1739	65.6000	77.3391
105.1054	71.2659	142.1502	97.6428	141.1796	214.9313	147.7991	48.9220	134.5162	164.3705	96.1601	49.5420	208.0178	151.0505	186.0694	149.2705	0.0000	126.9811	20.2197	194.7593	50.2197	122.9838	131.0031	57.5607	206.3653	74.0765	46.2285	103.5527	36.7353	65.8352	152.4023	233.3184	149.6937	195.0928
101.9991	117.5532	159.1084	186.2541	178.5332	156.7188	202.1906	81.7782	42.5707	131.5665	179.5781	99.7750	142.2105	187.2588	109.6830	136.6209	126.9811	0.0000	107.1215	218.7991	77.0201	193.4184	58.9269	181.2151	127.4706	114.6320	80.8065	165.2421	90.4205	62.0699	38.2409	151.6568	185.8432	122.1520
96.9367	69.1628	140.8276	109.5178	143.7465	204.3650	154.0728	32.4202	117.1224	155.8071	106.6682	41.9811	196.2403	153.8376	172.3448	143.1207	20.2197	107.1215	0.0000	196.7707	31.0543	131.6874	115.3267	77.3593	192.8200	70.9158	26.8011	109.2074	17.9185	45.6624	133.8280	219.9033	152.4115	182.0492
118.9903	128.2547	60.9100	118.5484	53.5979	130.0194	58.2001	179.6620	182.6550	100.4845	113.3052	157.4508	140.5453	43.9046	154.5982	84.7314	194.7593	218.7991	196.7707	0.0000	191.0076	87.4221	164.0358	186.8912	160.0962	127.4093	192.6937	93.4278	190.6073	205.0515	204.6039	171.6754	45.1954	149.9360
79.4364	64.6045	131.5775	122.0502	140.3333	180.5557	156.0340	11.5260	86.6182	135.3943	117.2550	35.9242	171.0065	150.3973	145.0317	126.5329	50.2197	77.0201	31.0543	191.0076	0.0000	138.2766	86.4217	104.5783	165.5560	64.3835	4.4421	112.2710	13.4852	19.2397	102.7812	192.6259	148.9132	155.4341
