# EVRP Instance: C100R4-2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..100       = Customers
#   101..104     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C100R4-2
CUSTOMERS: 100
STATIONS: 4
TOTAL_NODES: 105
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 6
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	137.30	188.94	0.0908
2	C	159.61	104.36	0.0929
3	C	85.31	23.02	0.0539
4	C	75.87	18.50	0.0714
5	C	140.01	27.18	0.0913
6	C	37.69	66.84	0.0635
7	C	70.15	135.79	0.1161
8	C	69.70	179.18	0.0708
9	C	97.32	99.44	0.1005
10	C	191.82	108.48	0.0600
11	C	101.86	12.10	0.1407
12	C	46.83	104.17	0.0504
13	C	177.96	90.74	0.1092
14	C	27.36	46.85	0.0753
15	C	172.11	16.11	0.0906
16	C	28.76	12.32	0.0964
17	C	126.83	47.48	0.1373
18	C	175.11	5.99	0.1440
19	C	55.69	143.27	0.1371
20	C	198.60	134.94	0.1397
21	C	109.72	53.11	0.1465
22	C	111.66	178.86	0.0671
23	C	2.48	6.03	0.0914
24	C	66.48	133.47	0.0943
25	C	124.59	43.10	0.0972
26	C	144.43	115.08	0.0944
27	C	54.90	184.25	0.1271
28	C	198.57	135.35	0.1457
29	C	133.67	16.73	0.1149
30	C	105.49	82.65	0.0860
31	C	146.57	81.61	0.1388
32	C	157.83	170.61	0.0622
33	C	85.35	188.22	0.1353
34	C	61.52	80.93	0.1208
35	C	103.79	179.21	0.0938
36	C	74.00	89.56	0.1195
37	C	37.58	190.66	0.0623
38	C	110.58	73.31	0.0579
39	C	4.93	191.65	0.1082
40	C	67.53	12.82	0.0893
41	C	61.32	14.17	0.1095
42	C	19.49	143.70	0.0962
43	C	60.43	125.89	0.1133
44	C	176.40	153.18	0.0538
45	C	28.76	33.04	0.0577
46	C	170.38	163.57	0.0757
47	C	94.68	143.24	0.0942
48	C	143.82	21.02	0.0841
49	C	129.33	188.80	0.1145
50	C	24.45	57.76	0.1014
51	C	128.95	26.89	0.1118
52	C	135.87	182.62	0.1327
53	C	66.04	59.36	0.1255
54	C	62.68	23.11	0.1052
