# EVRP Instance: C17R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..17       = Customers
#   18..19     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C17R2
CUSTOMERS: 17
STATIONS: 2
TOTAL_NODES: 20
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	165.07	74.75	0.0504
2	C	162.68	167.89	0.1350
3	C	180.14	114.91	0.1335
4	C	142.90	89.56	0.0972
5	C	58.88	142.56	0.1311
6	C	56.15	81.20	0.1005
7	C	25.36	153.80	0.0927
8	C	61.45	176.60	0.0506
9	C	87.65	65.17	0.1436
10	C	113.91	112.29	0.0669
11	C	68.68	80.37	0.1275
12	C	95.01	90.28	0.1007
13	C	113.11	50.23	0.0849
14	C	68.07	189.91	0.0923
15	C	103.60	91.33	0.1268
16	C	33.47	166.73	0.0851
17	C	93.53	97.31	0.0570
18	S	165.50	46.43	0.0000
19	S	54.10	6.83	0.0000

DISTANCE_MATRIX_MILES
0.0000	69.7973	92.4004	81.5152	44.1521	59.1795	47.7102	92.0085	85.7535	36.9547	18.5616	36.9632	10.9260	51.4677	95.4114	9.3877	94.2292	7.0069	84.6168	103.8627
69.7973	0.0000	93.1707	42.8944	26.6617	125.9941	109.1108	160.5235	145.2946	78.0105	63.4555	96.5537	71.7606	57.4550	150.5683	63.6668	160.5580	75.0128	28.3233	130.1056
92.4004	93.1707	0.0000	55.7829	80.7888	106.8459	137.3455	138.0410	101.6040	127.2042	73.9586	128.4358	102.9686	127.6756	97.1387	96.7051	129.2152	98.8092	121.4927	194.2420
81.5152	42.8944	55.7829	0.0000	45.0493	124.3725	128.4908	159.5910	133.7646	105.0165	66.2818	116.6891	88.6214	93.1479	134.8506	80.0899	155.5551	88.3802	70.0274	166.0342
44.1521	26.6617	80.7888	45.0493	0.0000	99.3396	87.1519	133.9494	119.2060	60.3940	36.8385	74.7868	47.8954	49.3386	125.1785	39.3398	133.9034	49.9746	48.6925	121.3659
59.1795	125.9941	106.8459	124.3725	99.3396	0.0000	61.4207	35.3543	34.1369	82.5647	62.8058	62.9574	63.5498	107.0781	48.2336	68.0029	35.0693	56.9929	143.5577	135.8141
47.7102	109.1108	137.3455	128.4908	87.1519	61.4207	0.0000	78.8593	95.5471	35.3442	65.5958	12.5575	39.9067	64.8350	109.3616	48.5193	88.4859	40.7038	114.7448	74.3982
92.0085	160.5235	138.0410	159.5910	133.9494	35.3543	78.8593	0.0000	42.6887	108.3297	97.7966	85.2560	94.2651	135.7454	55.9292	100.1199	15.2629	88.5340	176.5433	149.7537
85.7535	145.2946	101.6040	133.7646	119.2060	34.1369	95.5471	42.6887	0.0000	114.4687	82.9929	96.5012	92.6143	136.5215	14.8654	95.1188	29.6698	85.5338	166.6452	169.9290
36.9547	78.0105	127.2042	105.0165	60.3940	82.5647	35.3442	108.3297	114.4687	0.0000	53.9433	24.3085	26.1664	29.5197	126.2674	30.6390	115.1082	32.6734	80.0738	67.2990
18.5616	63.4555	73.9586	66.2818	36.8385	62.8058	65.5958	97.7966	82.9929	53.9433	0.0000	55.3592	29.0112	62.0652	90.1453	23.3585	97.1304	25.2932	83.6604	121.2396
36.9632	96.5537	128.4358	116.6891	74.7868	62.9574	12.5575	85.2560	96.5012	24.3085	55.3592	0.0000	28.1332	53.6884	109.5417	36.5996	93.2620	30.0747	102.5965	74.9714
10.9260	71.7606	102.9686	88.6214	47.8954	63.5498	39.9067	94.2651	92.6143	26.1664	29.0112	28.1332	0.0000	43.9501	103.2080	8.6539	98.1416	7.1841	83.0160	92.9383
51.4677	57.4550	127.6756	93.1479	49.3386	107.0781	64.8350	135.7454	136.5215	29.5197	62.0652	53.6884	43.9501	0.0000	146.7621	42.1859	141.1197	50.9892	52.5276	73.2512
95.4114	150.5683	97.1387	134.8506	125.1785	48.2336	109.3616	55.9292	14.8654	126.2674	90.1453	109.5417	103.2080	146.7621	0.0000	104.7874	41.6470	96.0363	173.4333	183.6122
9.3877	63.6668	96.7051	80.0899	39.3398	68.0029	48.5193	100.1199	95.1188	30.6390	23.3585	36.5996	8.6539	42.1859	104.7874	0.0000	102.9727	11.7118	76.4697	97.9311
94.2292	160.5580	129.2152	155.5551	133.9034	35.0693	88.4859	15.2629	29.6698	115.1082	97.1304	93.2620	98.1416	141.1197	41.6470	102.9727	0.0000	91.7951	178.6169	161.2253
7.0069	75.0128	98.8092	88.3802	49.9746	56.9929	40.7038	88.5340	85.5338	32.6734	25.2932	30.0747	7.1841	50.9892	96.0363	11.7118	91.7951	0.0000	88.1388	98.6983
84.6168	28.3233	121.4927	70.0274	48.6925	143.5577	114.7448	176.5433	166.6452	80.0738	83.6604	102.5965	83.0160	52.5276	173.4333	76.4697	178.6169	88.1388	0.0000	118.2291
103.8627	130.1056	194.2420	166.0342	121.3659	135.8141	74.3982	149.7537	169.9290	67.2990	121.2396	74.9714	92.9383	73.2512	183.6122	97.9311	161.2253	98.6983	118.2291	0.0000

SPEED_MATRIX_KMH
0	80	40	60	30	60	80	80	30	30	40	30	40	40	30	80	40	40	30	80
40	0	40	40	30	80	40	30	30	60	80	80	60	80	30	30	80	30	60	60
40	30	0	30	30	40	30	30	30	60	30	40	60	40	80	80	60	80	60	80
40	40	60	0	40	60	80	30	60	60	30	40	30	40	40	40	40	60	30	80
30	60	80	60	0	60	60	80	30	30	60	60	60	30	40	80	80	40	80	40
40	30	60	40	80	0	80	30	80	60	80	40	80	60	60	40	80	30	40	80
60	60	60	80	30	40	0	40	60	40	30	80	30	60	80	30	30	40	60	60
60	80	60	80	60	60	40	0	40	80	30	60	30	30	30	40	60	60	30	80
40	30	60	60	60	30	40	40	0	30	60	60	80	80	80	30	30	80	80	80
40	30	80	40	60	80	60	60	30	0	30	40	60	40	30	30	40	40	40	60
30	30	60	60	40	40	80	80	30	60	0	30	40	80	60	40	30	80	80	60
40	30	40	80	40	80	60	60	80	60	40	0	30	60	40	40	60	30	60	80
60	30	60	60	40	40	30	60	80	30	60	80	0	60	80	30	80	30	60	80
60	40	40	30	40	30	40	60	30	40	80	80	60	0	80	40	80	60	30	80
80	40	30	30	40	80	30	80	80	30	80	40	30	80	0	40	80	60	30	30
30	30	40	80	80	30	40	30	80	40	60	60	30	60	40	0	80	80	80	60
60	40	60	80	40	40	80	40	40	80	60	60	60	40	40	40	0	80	80	30
60	40	80	40	80	60	80	40	80	40	30	40	60	40	30	80	80	0	60	40
60	80	30	80	30	40	30	60	40	40	80	40	40	60	60	30	60	60	0	30
60	60	80	40	80	80	30	40	40	80	30	80	30	40	30	60	80	30	30	0

EOF
