# EVRP Instance: C24R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..24       = Customers
#   25..26     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C24R2
CUSTOMERS: 24
STATIONS: 2
TOTAL_NODES: 27
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	133.07	97.78	0.0599
2	C	88.03	41.47	0.0800
3	C	3.52	92.40	0.1384
4	C	135.71	73.40	0.0654
5	C	132.66	87.52	0.0588
6	C	36.83	11.04	0.1249
7	C	46.33	88.05	0.1336
8	C	82.99	3.55	0.1494
9	C	146.46	102.61	0.1283
10	C	5.95	93.58	0.0761
11	C	124.32	115.87	0.0639
12	C	198.74	172.16	0.0523
13	C	143.10	53.25	0.1158
14	C	121.33	66.47	0.1118
15	C	176.58	27.14	0.1115
16	C	117.51	110.42	0.0566
17	C	4.70	48.05	0.0905
18	C	34.55	76.66	0.0912
19	C	56.16	59.89	0.0984
20	C	29.95	149.04	0.0972
21	C	123.33	59.50	0.0758
22	C	92.80	95.63	0.0885
23	C	135.44	155.06	0.0558
24	C	164.43	185.09	0.0971
25	S	51.04	1.79	0.0000
26	S	139.49	73.81	0.0000

DISTANCE_MATRIX_MILES
0.0000	33.1444	59.7415	96.7789	44.5282	34.9632	109.1070	54.9843	97.9385	46.5333	94.2689	29.0400	122.2974	63.5859	39.7395	105.7028	20.3759	108.5398	69.4871	59.4202	85.5098	46.7391	8.4224	65.4797	106.7311	109.7373	47.3854
33.1444	0.0000	72.1070	129.6617	24.5225	10.2682	129.5607	87.2840	106.7113	14.2345	127.1894	20.0950	99.2216	45.6456	33.4387	82.9646	20.0470	137.6660	100.7583	85.7368	115.1578	39.4997	40.3274	57.3290	92.7711	126.2656	24.8149
59.7415	72.1070	0.0000	98.6702	57.3839	64.1283	59.5603	62.5187	38.2535	84.5705	97.2244	82.7788	171.2792	56.3158	41.6400	89.7020	74.9878	83.5894	64.0191	36.8102	122.2481	39.6380	54.3696	123.0869	162.6766	54.2472	60.7783
96.7789	129.6617	98.6702	0.0000	133.5485	129.2322	87.9148	43.0304	119.2049	143.3042	2.7014	123.0589	210.8851	144.9665	120.6299	184.9558	115.4055	44.3657	34.7938	61.8698	62.5031	124.2451	89.3384	146.0451	185.6972	102.3148	137.2349
44.5282	24.5225	57.3839	133.5485	0.0000	14.4457	116.9018	90.5727	87.5124	31.1253	131.3198	43.9708	117.1594	21.4624	15.9627	61.7280	41.2519	133.4400	101.2125	80.6890	130.0253	18.6138	48.3264	81.6604	115.3234	110.8918	3.8022
34.9632	10.2682	64.1283	129.2322	14.4457	0.0000	122.6074	86.3316	97.5606	20.4487	126.8548	29.5513	107.3801	35.8249	23.9055	74.6640	27.4578	133.9091	98.7092	81.3367	119.7249	29.5325	40.6767	67.5972	102.6121	118.3700	15.3171
109.1070	129.5607	59.5603	87.9148	116.9018	122.6074	0.0000	77.5938	46.7637	142.8419	88.1273	136.5424	228.4174	114.3460	101.0581	140.6743	128.0064	49.0110	65.6596	52.5354	138.1714	99.1495	101.4303	174.5442	215.8128	16.9554	120.3293
54.9843	87.2840	62.5187	43.0304	90.5727	86.3316	77.5938	0.0000	92.1097	101.1831	40.7569	82.8033	174.0784	102.8371	78.0429	143.7884	74.6124	57.7326	16.3860	29.8264	63.1513	82.1225	47.0842	111.4941	152.8541	86.3885	94.2420
97.9385	106.7113	38.2535	119.2049	87.5124	97.5606	46.7637	92.1097	0.0000	117.6492	118.4929	119.6827	204.5175	77.9955	73.6809	96.5172	112.3068	90.0532	87.7012	62.4023	154.8566	68.9762	92.6011	160.3318	198.9705	31.9984	90.1594
46.5333	14.2345	84.5705	143.3042	31.1253	20.4487	142.8419	101.1831	117.6492	0.0000	140.7999	25.8071	87.0081	49.4742	44.0184	81.2584	29.9850	151.8970	114.8793	99.8954	125.4206	48.9231	54.1121	53.5952	84.4149	138.8152	29.6314
