# EVRP Instance: C13R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..13       = Customers
#   14..15     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C13R2
CUSTOMERS: 13
STATIONS: 2
TOTAL_NODES: 16
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	72.08	132.40	0.1324
2	C	151.25	134.23	0.1331
3	C	8.00	100.34	0.0503
4	C	64.22	41.87	0.0902
5	C	95.16	103.63	0.1073
6	C	1.54	13.04	0.0783
7	C	78.49	190.02	0.0760
8	C	118.71	18.11	0.1422
9	C	194.98	178.34	0.0992
10	C	132.27	22.33	0.1213
11	C	146.79	109.41	0.1347
12	C	168.99	43.31	0.0896
13	C	30.47	171.55	0.0966
14	S	52.69	59.87	0.0000
15	S	131.80	86.01	0.0000

DISTANCE_MATRIX_MILES
0.0000	42.7702	61.6300	92.0006	68.2591	6.0500	131.3637	92.5542	84.0002	123.1193	84.1070	47.7268	89.2938	99.7688	62.0375	34.7413
42.7702	0.0000	79.1911	71.6526	90.8706	36.8836	138.6460	57.9754	123.4365	131.2055	125.4521	78.1673	131.6380	57.1324	75.0771	75.6208
61.6300	79.1911	0.0000	147.2043	126.9039	63.8940	192.6139	91.6872	120.5931	62.1128	113.4982	25.2175	92.6345	126.4144	123.4645	51.9949
92.0006	71.6526	147.2043	0.0000	81.1137	87.2221	87.5387	114.0673	137.9075	202.5969	146.7263	139.0860	170.7929	74.6710	60.2911	124.6266
68.2591	90.8706	126.9039	81.1137	0.0000	69.0766	68.9924	148.8357	59.4449	189.0033	70.7998	106.6745	104.7799	133.9999	21.3762	80.7180
6.0500	36.8836	63.8940	87.2221	69.0766	0.0000	130.2738	87.9836	88.7033	124.6821	89.3691	51.9525	95.3382	93.7972	60.9806	40.6565
131.3637	138.6460	192.6139	87.5387	68.9924	130.2738	0.0000	192.9850	117.2796	254.4467	131.0597	174.3122	170.1640	161.1284	69.3496	149.3060
92.5542	57.9754	91.6872	114.0673	148.8357	87.9836	192.9850	0.0000	176.5522	117.0741	176.1029	105.6544	172.3777	51.4496	132.6826	116.8762
84.0002	123.4365	120.5931	137.9075	59.4449	88.7033	117.2796	176.5522	0.0000	177.4564	14.2015	95.5206	56.2416	177.0032	78.1187	69.1503
123.1193	131.2055	62.1128	202.5969	189.0033	124.6821	254.4467	117.0741	177.4564	0.0000	168.1418	84.1048	137.5085	164.6501	185.1529	111.8773
84.1070	125.4521	113.4982	146.7263	70.7998	89.3691	131.0597	176.1029	14.2015	168.1418	0.0000	88.2823	42.2909	180.6373	87.9899	63.6817
47.7268	78.1673	25.2175	139.0860	106.6745	51.9525	174.3122	105.6544	95.5206	84.1048	88.2823	0.0000	69.7284	131.8777	106.3439	27.7896
89.2938	131.6380	92.6345	170.7929	104.7799	95.3382	170.1640	172.3777	56.2416	137.5085	42.2909	69.7284	0.0000	188.7678	117.4731	56.6250
99.7688	57.1324	126.4144	74.6710	133.9999	93.7972	161.1284	51.4496	177.0032	164.6501	180.6373	131.8777	188.7678	0.0000	113.8690	132.6079
62.0375	75.0771	123.4645	60.2911	21.3762	60.9806	69.3496	132.6826	78.1187	185.1529	87.9899	106.3439	117.4731	113.8690	0.0000	83.3168
34.7413	75.6208	51.9949	124.6266	80.7180	40.6565	149.3060	116.8762	69.1503	111.8773	63.6817	27.7896	56.6250	132.6079	83.3168	0.0000

SPEED_MATRIX_KMH
0	80	80	40	80	40	30	40	40	80	80	40	60	40	80	60
30	0	60	30	60	30	80	30	30	60	40	30	40	30	60	40
80	30	0	30	80	80	60	60	60	30	60	30	40	80	30	40
30	30	60	0	80	40	60	60	40	60	60	80	60	80	40	80
80	40	60	80	0	60	60	80	40	60	60	40	80	30	60	80
40	80	60	80	60	0	80	30	40	80	40	40	40	30	80	60
60	40	40	40	60	30	0	30	40	30	30	80	80	60	80	30
60	30	60	60	60	80	60	0	80	40	30	80	40	30	60	30
80	60	30	30	30	30	40	80	0	60	60	60	30	30	40	80
80	40	40	30	40	40	40	80	80	0	40	80	80	30	60	40
30	30	60	60	40	60	40	60	30	40	0	60	80	60	60	80
60	40	80	30	30	30	30	30	80	60	60	0	60	80	80	30
30	60	40	30	40	60	30	80	40	80	80	80	0	80	30	30
30	30	40	30	80	30	30	60	80	80	60	30	40	0	40	30
40	40	30	80	60	80	30	30	60	60	60	30	60	60	0	30
80	80	60	30	40	30	60	80	80	80	30	40	60	60	40	0

EOF
