# EVRP Instance: C18R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..18       = Customers
#   19..20     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C18R2
CUSTOMERS: 18
STATIONS: 2
TOTAL_NODES: 21
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	19.57	97.72	0.1271
2	C	37.23	3.88	0.0917
3	C	61.45	92.98	0.1295
4	C	19.61	13.60	0.1369
5	C	118.24	134.77	0.0707
6	C	13.00	151.33	0.1163
7	C	115.32	116.42	0.0992
8	C	20.66	46.10	0.1127
9	C	186.56	192.01	0.0843
10	C	33.34	164.81	0.1208
11	C	183.47	108.13	0.0644
12	C	41.26	180.01	0.0522
13	C	17.55	91.55	0.1466
14	C	158.81	108.34	0.1246
15	C	130.21	9.84	0.1242
16	C	164.06	22.01	0.0887
17	C	136.47	179.52	0.1107
18	C	22.95	198.90	0.1343
19	S	163.54	15.80	0.0000
20	S	195.83	4.40	0.0000

DISTANCE_MATRIX_MILES
0.0000	80.4623	114.8004	39.1840	118.0149	39.2639	101.0137	22.4570	95.9169	126.3269	92.9725	83.8650	99.2572	82.8819	59.3984	95.0866	100.9263	87.4842	125.3711	105.4845	135.3615
80.4623	0.0000	95.4873	42.1474	84.1200	105.3967	54.0111	97.5590	51.6315	191.7714	68.4885	164.2303	85.1005	6.4922	139.6444	141.2944	163.1238	142.6774	101.2364	165.6449	199.4397
114.8004	95.4873	0.0000	92.3332	20.1232	153.9312	149.4276	136.9792	45.3552	240.1923	160.9770	179.5945	176.1761	89.8517	160.2922	93.1708	128.1193	201.7374	195.5421	126.8712	158.6009
39.1840	42.1474	92.3332	0.0000	89.7317	70.5089	75.8428	58.7487	62.1414	159.5602	77.1344	122.9569	89.3412	43.9233	98.5642	107.8897	124.7620	114.5302	112.7000	127.9809	160.9484
118.0149	84.1200	20.1232	89.7317	0.0000	156.2371	137.8885	140.4719	32.5170	244.3408	151.8321	189.1719	167.8124	77.9772	168.3814	110.6639	144.6946	202.9426	185.3301	143.9468	176.4600
39.2639	105.3967	153.9312	70.5089	156.2371	0.0000	106.5349	18.5809	131.8493	89.1293	90.0578	70.4602	89.2893	109.5739	48.4197	125.5021	121.7140	48.3208	114.8601	127.3026	151.7120
101.0137	54.0111	149.4276	75.8428	137.8885	106.5349	0.0000	108.1115	105.5084	178.2637	24.4014	175.8586	40.2638	59.9529	152.0154	183.7324	198.8537	126.6472	48.5995	202.5603	234.5533
22.4570	97.5590	136.9792	58.7487	140.4719	18.5809	108.1115	0.0000	117.9212	103.8700	95.1962	68.6524	97.6144	100.8835	44.2342	107.6151	106.2489	66.5502	123.8352	111.5776	137.9505
95.9169	51.6315	45.3552	62.1414	32.5170	131.8493	105.5084	117.9212	0.0000	220.9356	119.3853	174.2263	135.4852	45.5563	151.5231	115.3949	145.4094	176.6716	152.8172	146.0575	180.0650
126.3269	191.7714	240.1923	159.5602	244.3408	89.1293	178.2637	103.8700	220.9356	0.0000	155.6156	83.9369	145.7947	196.6128	88.1518	190.6862	171.4825	51.6237	163.7550	177.7073	187.8389
92.9725	68.4885	160.9770	77.1344	151.8321	90.0578	24.4014	95.1962	119.3853	155.6156	0.0000	160.4732	17.1396	74.9423	137.5921	182.7553	193.5964	104.1738	35.6382	197.8788	228.3295
83.8650	164.2303	179.5945	122.9569	189.1719	70.4602	175.8586	68.6524	174.2263	83.9369	160.4732	0.0000	159.3437	166.7463	24.6609	111.7924	88.2802	85.4724	184.4068	94.4565	104.4638
99.2572	85.1005	176.1761	89.3412	167.8124	89.2893	40.2638	97.6144	135.4852	145.7947	17.1396	159.3437	0.0000	91.5824	137.6757	192.0154	200.1096	95.2113	26.3076	204.7372	233.9461
82.8819	6.4922	89.8517	43.9233	77.9772	109.5739	59.9529	100.8835	45.5563	196.6128	74.9423	166.7463	91.5824	0.0000	142.2543	139.1718	162.1758	147.9212	107.4857	164.4723	198.4411
59.3984	139.6444	160.2922	98.5642	168.3814	48.4197	152.0154	44.2342	151.5231	88.1518	137.5921	24.6609	137.6757	142.2543	0.0000	102.5681	86.4895	74.6034	163.2760	92.6608	110.3359
95.0866	141.2944	93.1708	107.8897	110.6639	125.5021	183.7324	107.6151	115.3949	190.6862	182.7553	111.7924	192.0154	139.1718	102.5681	0.0000	35.9713	169.7954	217.3670	33.8587	65.8451
100.9263	163.1238	128.1193	124.7620	144.6946	121.7140	198.8537	106.2489	145.4094	171.4825	193.5964	88.2802	200.1096	162.1758	86.4895	35.9713	0.0000	159.9081	226.2788	6.2317	36.3242
87.4842	142.6774	201.7374	114.5302	202.9426	48.3208	126.6472	66.5502	176.6716	51.6237	104.1738	85.4724	95.2113	147.9212	74.6034	169.7954	159.9081	0.0000	115.1624	165.9428	184.9071
125.3711	101.2364	195.5421	112.7000	185.3301	114.8601	48.5995	123.8352	152.8172	163.7550	35.6382	184.4068	26.3076	107.4857	163.2760	217.3670	226.2788	115.1624	0.0000	230.8488	260.2263
105.4845	165.6449	126.8712	127.9809	143.9468	127.3026	202.5603	111.5776	146.0575	177.7073	197.8788	94.4565	204.7372	164.4723	92.6608	33.8587	6.2317	165.9428	230.8488	0.0000	34.2433
135.3615	199.4397	158.6009	160.9484	176.4600	151.7120	234.5533	137.9505	180.0650	187.8389	228.3295	104.4638	233.9461	198.4411	110.3359	65.8451	36.3242	184.9071	260.2263	34.2433	0.0000

SPEED_MATRIX_KMH
0	40	40	40	80	80	60	30	40	40	60	80	30	30	40	80	40	80	40	40	40
80	0	30	60	30	60	80	80	30	60	30	80	80	80	60	80	80	40	80	80	40
30	80	0	60	80	60	40	40	30	40	30	80	80	40	30	60	30	40	40	60	40
30	80	80	0	80	30	30	80	60	30	80	30	60	60	40	40	30	40	30	60	80
40	60	80	40	0	40	40	60	80	60	60	30	30	80	60	40	30	80	60	80	40
30	40	30	40	40	0	30	60	40	60	60	80	80	80	40	60	40	60	30	30	30
40	60	30	80	40	30	0	60	60	30	80	30	60	60	30	60	30	30	30	30	30
60	40	30	80	30	40	30	0	30	80	40	40	80	40	80	80	40	60	40	60	40
60	60	30	60	80	60	30	60	0	80	60	40	30	60	40	30	80	80	40	30	60
60	80	40	30	60	30	30	60	80	0	40	80	80	60	40	60	80	40	30	30	40
40	80	80	40	80	60	40	30	80	60	0	60	30	60	60	80	80	60	60	80	40
80	80	30	80	40	60	30	40	80	80	80	0	30	60	30	60	30	30	30	80	40
30	80	60	40	30	80	40	60	60	60	40	40	0	30	40	40	60	60	30	60	30
80	40	60	60	30	40	30	30	80	60	60	60	40	0	40	30	40	60	40	40	80
80	40	40	80	40	30	40	30	40	30	30	30	30	80	0	30	80	40	80	30	60
40	80	30	80	60	60	40	30	30	40	80	80	30	60	40	0	80	40	60	80	40
80	40	80	80	60	80	30	40	40	30	80	80	40	60	40	80	0	30	40	30	80
40	60	40	60	60	30	30	80	80	80	30	30	60	30	80	40	40	0	30	30	60
30	80	80	60	80	80	80	60	80	40	60	80	30	40	40	60	40	80	0	40	30
80	60	80	40	60	30	30	60	80	40	40	40	80	60	80	80	80	30	30	0	40
80	60	30	40	30	30	60	40	40	30	60	60	60	80	30	60	60	80	40	40	0

EOF
