# EVRP Instance: C15R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..15       = Customers
#   16..17     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C15R2
CUSTOMERS: 15
STATIONS: 2
TOTAL_NODES: 18
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	12.14	42.56	0.1330
2	C	182.31	46.45	0.1092
3	C	58.50	102.31	0.0537
4	C	10.72	31.82	0.0606
5	C	176.73	56.28	0.1211
6	C	126.03	35.02	0.0521
7	C	181.21	145.28	0.1318
8	C	89.81	113.97	0.1220
9	C	52.11	138.97	0.0580
10	C	117.21	35.79	0.0674
11	C	138.20	174.90	0.0969
12	C	141.53	115.21	0.1472
13	C	114.32	97.15	0.0886
14	C	47.68	64.59	0.1321
15	C	145.65	2.53	0.0530
16	S	115.10	120.86	0.0000
17	S	83.69	173.29	0.0000

DISTANCE_MATRIX_MILES
0.0000	104.9702	98.1964	41.5642	112.3362	88.3116	69.9997	92.9803	17.2915	61.7423	66.4764	84.0788	44.2276	14.6009	63.1763	107.6305	25.7517	75.0829
104.9702	0.0000	170.2145	75.6261	10.8335	165.1609	114.1393	197.8284	105.5084	104.3671	105.2879	182.7703	148.3907	115.8483	41.8140	139.3819	129.3509	149.0293
98.1964	170.2145	0.0000	135.8280	172.2126	11.3033	57.4289	98.8361	114.5216	159.7247	65.9670	135.8127	79.9434	84.8123	135.8466	57.2095	100.2698	160.6683
41.5642	75.6261	135.8280	0.0000	85.1573	126.8743	95.3323	130.0160	33.4107	37.2127	88.7230	107.8026	84.0261	56.0580	39.2412	132.4808	59.5623	75.3173
112.3362	10.8335	172.2126	85.1573	0.0000	167.8023	115.3544	204.7926	114.0344	114.8662	106.5640	191.6326	155.1295	122.4784	49.3955	138.0725	137.1981	159.1803
88.3116	165.1609	11.3033	126.8743	167.8023	0.0000	54.9771	89.1127	104.3227	149.5586	62.9482	124.7207	68.6424	74.6014	129.3173	62.0889	89.2683	149.4917
69.9997	114.1393	57.4289	95.3323	115.3544	54.9771	0.0000	123.2968	86.8619	127.5530	8.8535	140.4084	81.6743	63.2239	83.7443	37.9545	86.5331	144.6073
92.9803	197.8284	98.8361	130.0160	204.7926	89.1127	123.2968	0.0000	96.6141	129.2541	126.8229	52.2226	49.7866	82.4061	156.0165	147.1125	70.4760	101.4629
17.2915	105.5084	114.5216	33.4107	114.0344	104.3227	86.8619	96.6141	0.0000	45.2359	82.8425	77.8078	51.7349	29.7263	64.9101	124.6474	26.2118	59.6349
61.7423	104.3671	159.7247	37.2127	114.8662	149.5586	127.5530	129.2541	45.2359	0.0000	122.0005	93.2869	92.5228	74.9600	74.5118	165.4255	65.5417	46.6386
