# EVRP Instance: C21R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..21       = Customers
#   22..23     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C21R2
CUSTOMERS: 21
STATIONS: 2
TOTAL_NODES: 24
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	152.44	105.49	0.1231
2	C	194.64	167.36	0.1002
3	C	48.11	67.76	0.1215
4	C	87.00	3.25	0.0524
5	C	190.57	125.92	0.0935
6	C	9.98	132.16	0.1312
7	C	197.42	146.68	0.1414
8	C	77.37	69.75	0.0899
9	C	100.70	184.06	0.0704
10	C	67.19	134.44	0.0585
11	C	101.74	77.07	0.1095
12	C	55.44	76.90	0.1108
13	C	144.18	130.65	0.1326
14	C	87.93	170.38	0.1341
15	C	153.48	49.69	0.0913
16	C	182.11	89.31	0.1263
17	C	36.45	197.49	0.1392
18	C	113.68	173.58	0.0754
19	C	101.99	7.64	0.1058
20	C	34.00	65.61	0.0753
21	C	129.93	190.20	0.1299
22	S	25.98	112.47	0.0000
23	S	167.48	116.02	0.0000

DISTANCE_MATRIX_MILES
0.0000	52.7266	116.1641	61.0900	97.6195	94.2060	95.5922	108.0263	37.7780	84.0629	47.5669	22.9959	50.1917	53.7708	71.4075	73.4248	82.8029	116.3740	74.8409	92.3814	74.4223	95.0360	75.0630	69.3555
52.7266	0.0000	74.8915	110.9428	121.3895	43.2583	144.9350	60.9903	83.1436	94.0759	90.0315	58.1222	101.1256	26.4812	91.5000	55.8097	33.7950	148.0462	78.3491	110.0901	124.9738	87.6498	126.6525	18.3598
116.1641	74.8915	0.0000	177.1756	196.2612	41.6394	187.9850	20.8660	152.5777	95.4129	131.6329	129.5480	166.0110	62.4006	106.7527	124.6610	79.0494	161.0338	81.1986	184.6470	190.1533	68.6225	177.3672	58.0815
61.0900	110.9428	177.1756	0.0000	75.3258	153.8747	74.8415	168.8841	29.3276	127.6378	69.3561	54.4321	11.7162	114.8242	110.0750	106.9082	135.7218	130.2529	124.4881	80.7308	14.2729	147.2619	49.8871	128.7565
97.6195	121.3895	196.2612	75.3258	0.0000	160.5449	150.1661	181.0103	67.1937	181.3283	132.6772	75.2772	80.1271	139.6435	167.1326	81.0942	128.2663	200.7099	172.4069	15.6196	81.8399	191.8158	125.1097	138.5428
94.2060	43.2583	41.6394	153.8747	160.5449	0.0000	180.6978	21.8609	126.3697	107.0368	123.6738	101.3760	143.7466	46.6305	111.8555	84.7743	37.5748	169.9272	90.4630	147.7720	167.7840	88.3693	165.1386	25.1229
95.5922	144.9350	187.9850	74.8415	150.1661	180.6978	0.0000	188.0016	91.8500	104.5166	57.2554	107.0271	71.5561	134.2085	86.8157	165.5100	177.3834	70.4888	111.6660	154.8259	70.7521	133.2541	25.3712	158.3248
108.0263	60.9903	20.8660	168.8841	181.0103	21.8609	188.0016	0.0000	142.5841	103.6920	130.8039	118.3225	158.2010	55.6009	112.0257	106.4790	59.3777	168.7987	87.9545	168.6387	182.4238	80.3050	174.8199	42.8537
37.7780	83.1436	152.5777	29.3276	67.1937	126.3697	91.8500	142.5841	0.0000	116.6665	65.4861	25.4456	23.0662	90.4013	101.1826	78.7092	106.5507	134.1341	109.9958	66.8116	43.5671	131.4182	66.8276	101.2952
84.0629	94.0759	95.4129	127.6378	181.3283	107.0368	104.5166	103.6920	116.6665	0.0000	59.8754	106.9951	116.3260	68.8704	18.7140	144.3642	124.9206	65.6386	16.6826	176.4247	135.9386	29.8679	103.4805	95.3363
47.5669	90.0315	131.6329	69.3561	132.6772	123.6738	57.2554	130.8039	65.4861	59.8754	0.0000	66.9703	58.7275	77.0832	41.4950	120.9484	123.4639	70.1445	60.7722	131.4887	76.4143	83.9374	46.7006	101.9675
22.9959	58.1222	129.5480	54.4321	75.2772	101.3760	107.0271	118.3225	25.4456	106.9951	66.9703	0.0000	46.3003	68.3518	94.3264	58.5380	81.2967	136.9809	97.2458	69.4305	68.7025	116.5893	83.6226	76.4124
50.1917	101.1256	166.0110	11.7162	80.1271	143.7466	71.5561	158.2010	23.0662	116.3260	58.7275	46.3003	0.0000	103.7490	98.9652	101.7459	127.2765	122.0761	112.8668	83.4497	24.2309	135.5937	46.1857	118.6732
53.7708	26.4812	62.4006	114.8242	139.6435	46.6305	134.2085	55.6009	90.4013	68.8704	77.0832	68.3518	103.7490	0.0000	68.8661	81.4924	56.1042	126.7807	52.6615	130.0441	127.9447	61.2312	119.5899	27.5123
71.4075	91.5000	106.7527	110.0750	167.1326	111.8555	86.8157	112.0257	101.1826	18.7140	41.4950	94.3264	98.9652	68.8661	0.0000	137.3422	124.2667	58.1820	25.9481	163.3462	117.8355	46.4417	84.8019	96.3494
73.4248	55.8097	124.6610	106.9082	81.0942	84.7743	165.5100	106.4790	78.7092	144.3642	120.9484	58.5380	101.7459	81.4924	137.3422	0.0000	48.8817	188.5228	130.1260	66.4787	120.5360	142.4699	142.1182	67.7914
82.8029	33.7950	79.0494	135.7218	128.2663	37.5748	177.3834	59.3777	106.5507	124.9206	123.4639	81.2967	127.2765	56.1042	124.2667	48.8817	0.0000	181.4380	108.5546	114.4081	149.9942	113.5850	157.8384	30.4542
116.3740	148.0462	161.0338	130.2529	200.7099	169.9272	70.4888	168.7987	134.1341	65.6386	70.1445	136.9809	122.0761	126.7807	58.1820	188.5228	181.4380	0.0000	80.8465	200.8445	131.9028	93.7638	85.6623	154.2926
74.8409	78.3491	81.1986	124.4881	172.4069	90.4630	111.6660	87.9545	109.9958	16.6826	60.7722	97.2458	112.8668	52.6615	25.9481	130.1260	108.5546	80.8465	0.0000	166.3513	134.1880	23.2441	106.8912	78.7883
92.3814	110.0901	184.6470	80.7308	15.6196	147.7720	154.8259	168.6387	66.8116	176.4247	131.4887	69.4305	83.4497	130.0441	163.3462	66.4787	114.4081	200.8445	166.3513	0.0000	89.3485	184.6857	129.4869	126.6300
74.4223	124.9738	190.1533	14.2729	81.8399	167.7840	70.7521	182.4238	43.5671	135.9386	76.4143	68.7025	24.2309	127.9447	117.8355	120.5360	149.9942	131.9028	134.1880	89.3485	0.0000	157.2426	47.5414	142.6817
95.0360	87.6498	68.6225	147.2619	191.8158	88.3693	133.2541	80.3050	131.4182	29.8679	83.9374	116.5893	135.5937	61.2312	46.4417	142.4699	113.5850	93.7638	23.2441	184.6857	157.2426	0.0000	129.7981	83.1425
75.0630	126.6525	177.3672	49.8871	125.1097	165.1386	25.3712	174.8199	66.8276	103.4805	46.7006	83.6226	46.1857	119.5899	84.8019	142.1182	157.8384	85.6623	106.8912	129.4869	47.5414	129.7981	0.0000	141.5445
69.3555	18.3598	58.0815	128.7565	138.5428	25.1229	158.3248	42.8537	101.2952	95.3363	101.9675	76.4124	118.6732	27.5123	96.3494	67.7914	30.4542	154.2926	78.7883	126.6300	142.6817	83.1425	141.5445	0.0000

SPEED_MATRIX_KMH
0	40	40	60	60	40	30	40	40	30	30	80	40	40	60	80	80	30	60	30	80	80	60	80
60	0	80	80	60	80	30	40	80	60	30	60	60	40	60	80	80	30	60	80	80	60	30	30
30	40	0	30	80	40	30	30	30	30	60	40	80	30	80	40	40	80	80	60	40	80	40	40
40	80	80	0	80	30	30	80	40	60	60	30	60	60	80	40	80	40	30	40	60	80	80	80
30	60	60	30	0	30	60	80	80	80	60	40	40	80	60	80	30	60	30	40	80	30	30	60
80	40	60	60	40	0	80	80	60	30	30	80	80	80	60	80	40	80	80	30	40	60	80	60
80	60	60	40	60	80	0	40	30	60	40	30	80	80	30	80	40	40	30	30	30	60	60	40
30	40	40	30	80	30	60	0	60	80	40	60	30	40	30	40	60	40	80	40	60	40	30	60
80	40	60	60	30	40	60	40	0	40	80	40	40	30	30	80	60	30	30	40	80	30	80	40
40	80	80	40	60	80	40	30	40	0	80	40	30	40	30	30	80	40	80	40	60	30	80	60
40	80	80	80	60	60	30	80	30	30	0	80	60	30	80	40	80	40	30	60	30	80	30	60
60	80	80	30	60	60	40	30	30	80	30	0	60	30	80	60	80	80	60	30	40	30	80	40
40	30	80	80	60	40	80	30	80	30	60	30	0	60	40	40	60	40	60	80	60	40	30	40
40	30	60	40	60	30	60	60	80	40	60	30	60	0	40	80	60	30	60	40	40	80	30	40
80	40	60	80	30	40	30	40	40	60	30	60	80	60	0	40	60	80	60	40	40	40	60	30
60	30	60	60	40	60	40	80	80	60	30	40	40	40	80	0	40	30	40	30	60	40	30	40
80	40	60	60	60	30	40	80	80	30	60	80	80	40	60	40	0	30	40	60	40	60	30	40
30	80	60	60	60	80	80	40	40	60	30	60	30	40	40	40	60	0	30	40	80	40	60	30
40	30	40	60	60	30	60	40	40	40	30	80	60	80	40	30	80	80	0	30	60	80	60	30
80	40	60	60	30	80	60	60	30	30	30	80	30	80	60	80	30	40	40	0	60	40	40	40
80	60	60	40	40	80	60	30	60	40	80	30	40	60	30	60	60	40	60	30	0	80	80	80
30	80	40	40	80	60	40	30	80	60	40	60	60	60	60	30	40	40	60	30	60	0	40	40
40	80	30	40	30	30	60	80	60	30	30	60	40	60	80	30	80	60	80	40	80	40	0	40
60	40	80	30	40	40	80	40	40	60	30	80	30	80	60	40	40	30	40	30	40	40	40	0

EOF
