# EVRP Instance: C11R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..11       = Customers
#   12..13     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C11R2
CUSTOMERS: 11
STATIONS: 2
TOTAL_NODES: 14
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	84.19	2.24	0.1464
2	C	171.50	95.66	0.0820
3	C	145.53	151.90	0.1497
4	C	54.02	158.11	0.0726
5	C	146.79	83.33	0.1061
6	C	64.23	105.95	0.1396
7	C	107.01	181.97	0.1431
8	C	130.91	112.33	0.1243
9	C	134.84	178.52	0.0554
10	C	151.84	60.73	0.1292
11	C	22.06	55.27	0.0833
12	S	104.98	106.43	0.0000
13	S	172.36	151.19	0.0000

DISTANCE_MATRIX_MILES
0.0000	99.0302	71.6316	69.0405	74.1008	49.6708	36.2615	82.2692	33.2785	85.9024	65.0347	89.8633	8.1330	88.6363
99.0302	0.0000	127.8684	161.7427	158.7630	102.4419	105.6133	181.1729	119.5933	183.4123	89.4293	81.6843	106.2440	173.0897
71.6316	127.8684	0.0000	61.9466	133.0472	27.6154	107.7624	107.7422	43.8798	90.6076	40.0827	154.8020	67.3862	55.5367
69.0405	161.7427	61.9466	0.0000	91.7205	68.5816	93.3868	48.8671	42.1845	28.6862	91.3881	156.7871	60.9247	26.8394
74.1008	158.7630	133.0472	91.7205	0.0000	119.1567	53.1499	58.1140	89.4868	83.3573	138.0276	107.6917	72.5792	118.5422
49.6708	102.4419	27.6154	68.5816	119.1567	0.0000	85.6027	106.3593	33.0632	95.9372	23.1573	127.8473	47.7670	72.5176
36.2615	105.6133	107.7624	93.3868	53.1499	85.6027	0.0000	87.2305	66.9845	101.2530	98.5919	65.9300	40.7528	117.2124
82.2692	181.1729	107.7422	48.8671	58.1140	106.3593	87.2305	0.0000	73.6270	28.0430	129.2628	152.5431	75.5673	72.2359
33.2785	119.5933	43.8798	42.1845	89.4868	33.0632	66.9845	73.6270	0.0000	66.3066	55.6833	122.8990	26.5928	56.8173
85.9024	183.4123	90.6076	28.6862	83.3573	95.9372	101.2530	28.0430	66.3066	0.0000	119.0104	167.0625	78.0294	46.4185
65.0347	89.4293	40.0827	91.3881	138.0276	23.1573	98.5919	129.2628	55.6833	119.0104	0.0000	129.8948	65.4549	92.7582
89.8633	81.6843	154.8020	156.7871	107.6917	127.8473	65.9300	152.5431	122.8990	167.0625	129.8948	0.0000	97.4324	178.2996
8.1330	106.2440	67.3862	60.9247	72.5792	47.7670	40.7528	75.5673	26.5928	78.0294	65.4549	97.4324	0.0000	80.8920
88.6363	173.0897	55.5367	26.8394	118.5422	72.5176	117.2124	72.2359	56.8173	46.4185	92.7582	178.2996	80.8920	0.0000

SPEED_MATRIX_KMH
0	40	40	60	30	60	40	30	80	60	60	60	30	80
60	0	40	30	40	30	80	30	40	60	30	80	80	80
80	80	0	40	80	40	60	40	30	40	80	30	80	30
40	80	30	0	30	80	60	80	40	60	30	80	30	30
60	30	30	40	0	60	60	60	80	40	60	30	80	60
60	40	40	80	30	0	60	80	30	60	30	30	60	60
40	30	80	60	40	80	0	60	60	40	40	30	40	40
40	60	40	60	80	30	40	0	40	30	80	30	60	30
60	30	60	40	80	40	30	80	0	40	60	80	40	60
30	30	30	80	60	30	30	60	80	0	40	60	80	40
80	40	60	80	60	40	60	80	60	60	0	80	80	40
40	60	30	30	40	60	30	80	60	80	40	0	30	40
40	40	30	30	40	60	30	30	30	40	40	30	0	80
40	60	60	30	60	60	60	40	60	40	80	40	60	0

EOF
