# EVRP Instance: C19R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..19       = Customers
#   20..21     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C19R2
CUSTOMERS: 19
STATIONS: 2
TOTAL_NODES: 22
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	95.17	139.30	0.0509
2	C	191.11	165.77	0.1367
3	C	124.47	80.88	0.0546
4	C	186.08	196.98	0.1171
5	C	74.02	90.61	0.1368
6	C	30.44	132.93	0.0691
7	C	198.84	85.73	0.1203
8	C	126.64	51.29	0.0869
9	C	174.04	145.15	0.1199
10	C	191.09	108.72	0.1131
11	C	176.98	127.21	0.1462
12	C	184.67	191.74	0.1152
13	C	81.47	196.78	0.0876
14	C	134.06	92.62	0.0867
15	C	38.53	158.64	0.1343
16	C	158.80	151.81	0.0647
17	C	23.17	95.87	0.0933
18	C	85.39	118.90	0.0581
19	C	29.00	132.56	0.1227
20	S	125.51	169.10	0.0000
21	S	120.89	127.35	0.0000

DISTANCE_MATRIX_MILES
0.0000	39.5957	112.3687	31.0541	129.6722	27.6249	76.9609	99.8648	55.5189	86.7205	91.5064	81.6474	124.8408	98.5380	34.8504	84.9542	78.3691	76.9409	23.8885	78.1099	73.6585	34.4153
39.5957	0.0000	99.5246	65.3558	107.6643	53.0852	65.0427	116.6928	93.4672	79.0867	100.6766	82.6985	103.7314	59.0901	60.7573	59.8509	64.8481	84.0843	22.6232	66.5124	42.5271	28.3606
112.3687	99.5246	0.0000	107.9222	31.6127	139.1370	163.9918	80.4124	131.3851	26.7688	57.0500	41.0674	26.7566	113.9410	92.7665	152.7465	35.1968	181.9062	115.6439	165.4768	65.6845	80.0434
31.0541	65.3558	107.9222	0.0000	131.4344	51.3797	107.4749	74.5280	29.6695	81.1654	72.2031	70.0269	126.1506	123.6196	15.1590	115.8978	78.8011	102.4031	54.5231	108.5603	88.2261	46.6077
129.6722	107.6643	31.6127	131.4344	0.0000	154.5057	168.3039	111.9794	157.3489	53.2101	88.4021	70.3609	5.4264	104.6102	116.6066	152.4499	52.7686	191.7365	127.4165	169.7765	66.6785	95.3838
27.6249	53.0852	139.1370	51.3797	154.5057	0.0000	60.7470	124.9154	65.6881	113.9237	118.4625	109.2718	149.9023	106.4311	60.0736	76.7308	104.5614	51.1213	30.4894	61.5354	93.8717	59.5535
76.9609	65.0427	163.9918	107.4749	168.3039	60.7470	0.0000	174.8897	126.1726	144.1190	162.4640	146.6516	165.0621	81.7367	111.1845	26.9528	129.7411	37.7663	56.7128	1.4868	101.7181	90.6220
99.8648	116.6928	80.4124	74.5280	111.9794	124.9154	174.8897	0.0000	79.9935	64.3877	24.2611	46.8876	106.9528	161.5791	65.1454	176.1112	77.2643	175.9624	118.1996	176.1780	111.0308	88.3653
55.5189	93.4672	131.3851	29.6695	157.3489	65.6881	126.1726	79.9935	0.0000	105.1497	86.3250	91.0932	151.9661	152.3406	41.9908	138.8791	105.5393	112.6651	79.2002	127.0369	117.8154	76.2770
86.7205	79.0867	26.7688	81.1654	53.2101	113.9237	144.1190	64.3877	105.1497	0.0000	40.2225	18.1793	47.7873	105.9946	66.0136	136.1798	16.6317	158.7144	92.4548	145.5854	54.1181	56.0514
