# EVRP Instance: C20R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..20       = Customers
#   21..22     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C20R2
CUSTOMERS: 20
STATIONS: 2
TOTAL_NODES: 23
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	133.55	176.13	0.1158
2	C	20.61	191.05	0.0761
3	C	2.65	173.77	0.1201
4	C	128.55	146.13	0.0871
5	C	105.41	79.70	0.0614
6	C	181.70	61.00	0.0986
7	C	121.72	79.79	0.1460
8	C	87.96	195.22	0.1456
9	C	193.62	101.51	0.0745
10	C	76.73	155.62	0.0956
11	C	120.52	142.78	0.0666
12	C	154.12	80.15	0.0994
13	C	129.93	42.56	0.0888
14	C	165.35	97.93	0.0744
15	C	102.84	15.28	0.0697
16	C	124.25	48.73	0.0925
17	C	53.94	113.44	0.1420
18	C	11.03	186.41	0.1193
19	C	155.48	162.33	0.1491
20	C	29.23	21.33	0.0874
21	S	154.87	168.49	0.0000
22	S	81.79	138.45	0.0000

DISTANCE_MATRIX_MILES
0.0000	83.1948	120.8010	122.1435	54.2502	21.0085	90.5312	29.6682	95.9782	93.6322	60.2916	47.4468	57.6454	64.7700	65.3828	84.7676	56.7157	47.9808	124.0256	83.4449	105.8176	87.7587	42.5442
83.1948	0.0000	113.9212	130.9213	30.4138	100.4520	124.7932	97.0636	49.4255	95.7943	60.4084	35.8051	98.1595	133.6190	84.4185	163.7554	127.7390	101.3301	122.9505	25.9107	186.6700	22.6476	64.0225
120.8010	113.9212	0.0000	24.9231	116.9139	139.9638	207.0338	150.3397	67.4790	194.8073	66.3682	110.9595	173.5619	184.3913	172.1075	194.0538	176.0575	84.4642	10.6445	137.8940	169.9388	136.1422	80.6830
122.1435	130.9213	24.9231	0.0000	128.8983	139.3154	211.6033	151.6902	87.9653	204.1839	76.2710	121.8758	178.0670	182.8012	179.5076	187.5023	174.4178	79.1857	15.1656	153.2576	154.7399	152.3115	86.6640
54.2502	30.4138	116.9139	128.8983	0.0000	70.3449	100.3596	66.6907	63.6975	78.8990	52.6818	8.7008	70.7615	103.5792	60.6422	133.3519	97.4949	81.4573	124.2314	31.4271	159.4977	34.5357	47.3865
21.0085	100.4520	139.9638	139.3154	70.3449	0.0000	78.5484	16.3102	116.8305	90.8663	81.1566	64.8645	48.7121	44.5040	62.6509	64.4712	36.2503	61.5431	142.4591	96.6164	95.9711	101.6364	63.3204
90.5312	124.7932	207.0338	211.6033	100.3596	78.5484	0.0000	62.8543	163.7138	42.2273	141.3211	102.1321	33.5765	54.9560	40.3875	91.1549	58.7457	138.1035	211.7922	104.6674	157.5462	110.7879	126.4140
29.6682	97.0636	150.3397	151.6902	66.6907	16.3102	62.8543	0.0000	120.2656	75.1090	88.1719	63.0014	32.4020	38.1245	47.2508	67.2160	31.1629	75.6733	153.6883	89.1773	109.4165	94.6922	70.9606
95.9782	49.4255	67.4790	87.9653	63.6975	116.8305	163.7138	120.2656	0.0000	141.2289	41.1615	61.7261	132.7338	158.3242	124.3164	180.5542	150.9181	88.5739	77.4328	75.1046	183.5400	72.0517	57.1043
93.6322	95.7943	194.8073	204.1839	78.8990	90.8663	42.2273	75.1090	141.2289	0.0000	128.8067	83.9454	44.9055	86.7843	28.4958	125.2063	87.1661	140.1885	201.3631	71.7895	182.9014	77.3814	117.7731
60.2916	60.4084	66.3682	76.2710	52.6818	81.1566	141.3211	88.1719	41.1615	128.8067	0.0000	45.6336	108.0969	124.9512	105.7433	142.7482	116.9770	47.9431	72.5570	79.0354	142.4432	79.1928	17.9001
47.4468	35.8051	110.9595	121.8758	8.7008	64.8645	102.1321	63.0014	61.7261	83.9454	45.6336	0.0000	71.0737	100.6608	63.4133	128.7200	94.1239	72.7580	117.8628	40.0550	151.9341	42.9060	38.9713
57.6454	98.1595	173.5619	178.0670	70.7615	48.7121	33.5765	32.4020	132.7338	44.9055	108.0969	71.0737	0.0000	44.7008	21.0295	82.6907	43.3524	105.5664	178.2300	82.1913	138.0482	88.3432	92.9006
64.7700	133.6190	184.3913	182.8012	103.5792	44.5040	54.9560	38.1245	158.3242	86.7843	124.9512	100.6608	44.7008	0.0000	65.7299	38.4456	8.3864	103.9156	186.6281	122.4649	102.9136	128.3759	107.2956
65.3828	84.4185	172.1075	179.5076	60.6422	62.6509	40.3875	47.2508	124.3164	28.4958	105.7433	63.4133	21.0295	65.7299	0.0000	103.6268	64.1081	112.4844	177.8858	65.1520	156.1929	71.3340	92.8663
84.7676	163.7554	194.0538	187.5023	133.3519	64.4712	91.1549	67.2160	180.5542	125.2063	142.7482	128.7200	82.6907	38.4456	103.6268	0.0000	39.7151	109.6658	194.2024	156.1879	73.8582	161.8037	124.9558
56.7157	127.7390	176.0575	174.4178	97.4949	36.2503	58.7457	31.1629	150.9181	87.1661	116.9770	94.1239	43.3524	8.3864	64.1081	39.7151	0.0000	95.5556	178.2542	117.8146	98.8917	123.6125	99.2599
47.9808	101.3301	84.4642	79.1857	81.4573	61.5431	138.1035	75.6733	88.5739	140.1885	47.9431	72.7580	105.5664	103.9156	112.4844	109.6658	95.5556	0.0000	84.6516	112.6970	95.3669	114.9668	37.4316
124.0256	122.9505	10.6445	15.1656	124.2314	142.4591	211.7922	153.6883	77.4328	201.3631	72.5570	117.8628	178.2300	186.6281	177.8858	194.2024	178.2542	84.6516	0.0000	146.4433	166.0802	144.9520	85.4818
83.4449	25.9107	137.8940	153.2576	31.4271	96.6164	104.6674	89.1773	75.1046	71.7895	79.0354	40.0550	82.1913	122.4649	65.1520	156.1879	117.8146	112.6970	146.4433	0.0000	189.2619	6.1901	77.4627
105.8176	186.6700	169.9388	154.7399	159.4977	95.9711	157.5462	109.4165	183.5400	182.9014	142.4432	151.9341	138.0482	102.9136	156.1929	73.8582	98.8917	95.3669	166.0802	189.2619	0.0000	193.4980	128.3731
87.7587	22.6476	136.1422	152.3115	34.5357	101.6364	110.7879	94.6922	72.0517	77.3814	79.1928	42.9060	88.3432	128.3759	71.3340	161.8037	123.6125	114.9668	144.9520	6.1901	193.4980	0.0000	79.0132
42.5442	64.0225	80.6830	86.6640	47.3865	63.3204	126.4140	70.9606	57.1043	117.7731	17.9001	38.9713	92.9006	107.2956	92.8663	124.9558	99.2599	37.4316	85.4818	77.4627	128.3731	79.0132	0.0000

SPEED_MATRIX_KMH
0	40	80	80	40	30	30	30	60	30	30	40	40	80	30	60	60	60	30	60	40	30	80
40	0	40	40	30	40	30	40	60	80	30	80	40	80	80	40	30	30	80	80	60	80	40
30	30	0	30	40	40	80	30	60	60	60	40	80	40	60	80	80	80	40	40	60	60	60
40	40	40	0	60	80	30	30	80	60	30	80	40	80	30	40	40	80	40	80	60	60	30
80	80	40	40	0	40	30	30	80	80	80	30	30	80	60	60	60	30	60	80	40	60	60
80	60	80	40	60	0	80	40	40	40	30	40	30	40	80	60	60	30	40	60	40	40	60
40	40	40	40	80	80	0	30	40	60	80	30	80	60	40	30	80	80	80	30	30	40	80
80	60	30	60	60	80	80	0	30	30	60	30	60	80	60	40	60	60	80	40	60	30	80
30	40	80	60	80	30	80	30	0	60	60	30	30	60	40	80	60	60	30	30	80	40	60
60	80	80	30	80	60	30	60	80	0	30	80	80	60	60	30	40	80	30	80	60	60	40
80	60	40	30	80	30	40	80	80	60	0	40	60	60	80	40	80	30	80	40	40	80	40
30	80	60	40	80	30	30	60	80	60	60	0	60	80	60	60	60	60	80	30	30	60	40
80	40	60	40	60	60	40	30	30	30	30	40	0	60	60	80	30	40	60	30	80	30	40
80	40	30	60	30	80	30	30	30	30	80	80	30	0	60	40	80	80	30	60	80	60	60
80	40	40	60	60	60	40	30	60	30	80	80	30	30	0	40	40	40	60	30	60	40	30
40	60	30	60	30	80	60	30	30	80	60	80	30	60	80	0	60	80	80	40	60	80	30
80	30	80	60	30	30	80	80	30	40	30	60	40	60	80	30	0	40	80	80	80	60	40
40	40	40	60	60	30	30	30	30	30	60	60	80	60	60	80	60	0	80	40	80	80	60
40	40	60	40	60	60	60	40	80	40	80	80	60	40	60	30	30	40	0	40	40	40	30
30	60	40	40	60	40	80	40	40	80	30	80	30	80	40	30	40	40	60	0	80	80	30
40	80	30	80	40	80	30	80	60	60	80	60	80	80	30	40	30	60	40	60	0	80	30
40	30	40	40	30	40	30	40	60	40	40	40	60	80	80	80	30	30	40	40	60	0	30
30	40	40	60	40	60	80	80	40	60	60	40	30	30	80	60	80	60	80	40	60	40	0

EOF
