# EVRP Instance: C12R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..12       = Customers
#   13..14     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C12R2
CUSTOMERS: 12
STATIONS: 2
TOTAL_NODES: 15
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	27.12	1.23	0.1403
2	C	165.42	127.66	0.1252
3	C	8.35	185.77	0.1373
4	C	35.02	32.16	0.1141
5	C	102.60	88.24	0.1379
6	C	125.04	173.30	0.0782
7	C	124.86	64.62	0.0553
8	C	160.62	180.07	0.1095
9	C	101.87	190.94	0.0994
10	C	106.02	61.85	0.0547
11	C	149.31	164.07	0.1455
12	C	107.53	135.28	0.1106
13	S	0.41	125.86	0.0000
14	S	165.65	52.16	0.0000

DISTANCE_MATRIX_MILES
0.0000	122.7477	71.0271	125.5238	93.9397	12.0440	77.4590	43.2408	100.4290	90.9592	38.6221	80.8483	36.0746	102.8927	81.2317
122.7477	0.0000	187.3805	185.4921	31.9230	115.1867	197.9808	116.4964	223.1726	203.9055	99.4987	203.5860	156.3175	127.4600	147.5955
71.0271	187.3805	0.0000	167.4746	161.6305	74.1639	60.9389	74.9610	52.6293	89.6826	88.6528	39.8148	58.3894	165.0198	75.5004
125.5238	185.4921	167.4746	0.0000	155.9081	135.6288	117.3544	168.0830	152.3766	93.6628	157.7834	142.6205	111.2920	60.4339	206.3854
93.9397	31.9230	161.6305	155.9081	0.0000	87.8181	167.4040	95.5242	194.0431	172.2789	76.9578	174.5350	126.0612	99.8876	132.1522
12.0440	115.1867	74.1639	135.6288	87.8181	0.0000	87.9702	32.4563	108.6235	102.7026	26.6107	89.0618	47.2976	108.8947	72.6434
77.4590	197.9808	60.9389	117.3544	167.4040	87.9702	0.0000	108.6801	36.2184	29.1208	113.0613	25.9659	41.8583	133.3536	127.7657
43.2408	116.4964	74.9610	168.0830	95.5242	32.4563	108.6801	0.0000	120.8614	128.3950	19.0425	102.4114	72.7541	138.7016	42.6506
100.4290	223.1726	52.6293	152.3766	194.0431	108.6235	36.2184	120.8614	0.0000	59.7471	130.2195	19.5938	69.4600	169.1330	128.0089
90.9592	203.9055	89.6826	93.6628	172.2789	102.7026	29.1208	128.3950	59.7471	0.0000	129.1567	54.5211	55.9470	120.5385	152.7343
38.6221	99.4987	88.6528	157.7834	76.9578	26.6107	113.0613	19.0425	130.2195	129.1567	0.0000	111.0088	73.4455	123.4939	60.4122
80.8483	203.5860	39.8148	142.6205	174.5350	89.0618	25.9659	102.4114	19.5938	54.5211	111.0088	0.0000	50.7389	153.7245	113.0966
36.0746	156.3175	58.3894	111.2920	126.0612	47.2976	41.8583	72.7541	69.4600	55.9470	73.4455	50.7389	0.0000	107.5334	101.4242
102.8927	127.4600	165.0198	60.4339	99.8876	108.8947	133.3536	138.7016	169.1330	120.5385	123.4939	153.7245	107.5334	0.0000	180.9308
81.2317	147.5955	75.5004	206.3854	132.1522	72.6434	127.7657	42.6506	128.0089	152.7343	60.4122	113.0966	101.4242	180.9308	0.0000

SPEED_MATRIX_KMH
0	30	60	60	40	80	30	30	60	80	40	80	60	30	80
40	0	80	30	80	40	60	60	40	80	30	60	40	80	60
30	30	0	60	40	40	60	30	40	30	60	30	80	40	60
60	60	80	0	80	30	60	60	40	60	80	40	60	80	30
60	40	30	80	0	60	30	40	80	40	30	80	80	80	80
80	60	80	40	40	0	30	60	40	30	40	40	40	30	60
30	40	30	30	80	40	0	30	40	60	30	40	80	60	60
60	80	80	60	30	80	40	0	80	40	80	60	40	60	60
30	60	60	30	30	80	40	60	0	40	80	30	80	60	30
30	30	30	60	80	30	80	30	40	0	30	80	60	80	30
80	40	80	80	60	30	60	60	60	30	0	30	40	80	80
80	40	30	30	30	80	40	40	60	60	30	0	30	60	80
80	60	40	60	60	40	30	80	60	30	60	60	0	80	80
30	40	60	30	80	30	60	80	30	60	60	30	60	0	30
60	30	60	80	80	30	60	30	60	60	60	60	30	30	0

EOF
