# EVRP Instance: C23R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..23       = Customers
#   24..25     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C23R2
CUSTOMERS: 23
STATIONS: 2
TOTAL_NODES: 26
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	92.95	19.77	0.0721
2	C	126.42	0.25	0.0948
3	C	90.60	109.16	0.1333
4	C	142.36	0.97	0.0762
5	C	74.13	66.32	0.0918
6	C	155.78	189.20	0.1276
7	C	34.59	163.61	0.1175
8	C	115.91	91.09	0.1308
9	C	15.86	148.66	0.0914
10	C	37.45	102.87	0.1312
11	C	145.31	19.82	0.1019
12	C	139.40	128.37	0.0805
13	C	64.21	195.47	0.0887
14	C	120.57	140.83	0.0507
15	C	116.83	52.94	0.0697
16	C	185.34	53.74	0.0727
17	C	199.30	89.82	0.0587
18	C	117.56	62.48	0.0864
19	C	98.45	1.31	0.1452
20	C	121.14	199.87	0.0723
21	C	83.12	34.62	0.0534
22	C	136.87	68.49	0.0977
23	C	104.87	131.35	0.0763
24	S	17.07	32.57	0.0000
25	S	65.75	142.89	0.0000

DISTANCE_MATRIX_MILES
0.0000	80.5392	103.1895	13.1250	107.7094	42.4688	105.2048	91.2398	18.2350	97.1974	62.6158	92.0968	48.5512	101.9581	45.7189	49.9789	97.0716	99.8205	41.4259	98.7022	102.0829	67.5239	48.5003	31.7260	106.8840	54.8873
80.5392	0.0000	38.7462	89.4209	52.8658	50.2105	180.7045	155.2283	74.9247	150.1849	99.9293	52.3600	118.1167	178.0350	124.1708	40.8718	98.4372	127.3473	49.2930	19.2619	182.2929	17.8087	65.5942	112.2149	76.9520	126.0888
103.1895	38.7462	0.0000	114.6493	15.9563	84.2585	191.2174	187.4013	91.4460	185.0650	135.8180	27.1996	128.7758	204.8925	140.7017	53.5556	79.5786	115.4741	62.8576	27.9901	199.6898	55.2828	69.0355	132.8594	114.0263	155.0065
13.1250	89.4209	114.6493	0.0000	119.9340	45.8969	103.2223	78.1148	31.0986	84.5359	53.5209	104.7608	52.4449	90.2544	43.6026	62.0379	109.7590	110.4071	53.9061	108.1353	95.7131	74.9144	61.6033	26.3824	106.1729	41.8955
107.7094	52.8658	15.9563	119.9340	0.0000	94.4773	188.7078	195.1055	93.9213	194.4597	146.2522	19.0794	127.4344	209.6131	141.5472	57.9022	68.0585	105.5296	66.3213	43.9113	200.0287	68.1300	67.7428	135.6630	129.2136	161.2773
42.4688	50.2105	84.2585	45.8969	94.4773	0.0000	147.5338	105.0179	48.5708	100.8725	51.7815	85.0226	90.0576	129.5304	87.7976	44.7472	111.9193	127.3569	43.5994	69.4101	141.5823	32.9501	62.7775	71.9295	66.2941	77.0272
105.2048	180.7045	191.2174	103.2223	188.7078	147.5338	0.0000	123.8623	105.9018	145.6746	146.4748	169.7033	62.9968	91.7844	59.8281	141.7176	138.6478	108.4914	132.3583	196.4418	36.2461	170.8053	122.1822	77.0613	209.2210	101.2424
91.2398	155.2283	187.4013	78.1148	195.1055	105.0179	123.8623	0.0000	108.9591	23.9649	60.8073	181.4786	110.5757	43.5018	88.9466	137.8813	186.5395	180.4837	130.8102	174.4116	93.8386	137.8172	139.6747	77.3304	132.2060	37.4201
18.2350	74.9247	91.4460	31.0986	93.9213	48.5708	105.9018	108.9591	0.0000	115.4310	79.3394	77.0959	44.0633	116.4821	49.9578	38.1611	78.8387	83.3997	28.6575	91.4620	108.9057	65.2997	30.8234	41.7462	114.8649	72.1059
97.1974	150.1849	185.0650	84.5359	194.4597	100.8725	145.6746	23.9649	115.4310	0.0000	50.6246	182.6391	125.1951	67.2971	105.0023	139.1304	194.2506	192.6457	133.3037	168.9175	117.0741	132.3972	145.1573	90.6775	116.0963	50.2226
